song,artist,language,crowd_sentiment_addition
Aquamarine,Addison Rae,English,"Aquatic, Serene. Dreamy, liberating dance-pop, euphoric and self-liberating, evoking peak Britney/Madonna energy - reinforces the weightless, ethereal isolation of the tagged scene"
Mikrokosmos,BTS,Korean / English,"Dreams and Hope, Anthem. Beloved ARMY comfort/unity anthem - 'each person is their own universe,' used as a concert closer - reinforces the awe/belonging of the tagged scene"
Georgia,Vance Joy,English,"Serene, Cinematic. Dreamy romantic homage to falling in love, fan-favorite live song - reinforces the warm, unhurried road-trip freedom in the tagged scene"
Time of Our Lives,Pitbull & Ne-Yo,English,"Carefree, Euphoric. Celebratory carpe-diem party anthem, upbeat and communal - reinforces the carefree euphoria of the tag"
Feel So Close,Calvin Harris,English,"Euphoric, Romantic. Euphoric dance track widely read as genuinely romantic despite the EDM production - reinforces the euphoric/romantic pairing"
Fame is a Gun,Addison Rae,English,"Y2K Nostalgia, Cyberpunk. Defiant glossy synth-pop about the danger/allure of fame, self-aware ambition as a weapon, explicit Y2K/Sheila E. references - reinforces the Y2K/cyberpunk tag directly"
Sapphire,Ed Sheeran & Arijit Singh,English / Hindi,"Happy / Festive, Optimistic. Upbeat euphoric cross-cultural dance track; the Sheeran/Singh blend feels magical and goosebump-inducing - reinforces the happy/festive tag"
Closer,The Chainsmokers ft. Halsey,English,"Youth Nostalgia, Melancholic Euphoria. Bittersweet nostalgia for an ex, uplifting and hopeful but sad at times - reinforces the melancholic euphoria tag precisely"
About You,The 1975,English,"Peak Nostalgia, Bitter-Sweet. Dreamy aching nostalgia for lost love, hazy memories fading while the feeling stays - reinforces the bittersweet nostalgia tag"
Something Just Like This,The Chainsmokers & Coldplay,English,"Hopeful, Uplifting. Warm hopeful anthem about wanting real love over superhero fantasy - reinforces the hopeful/uplifting tag"
Riptide,Vance Joy,English,"Serene, Carefree. Whimsical coming-of-age love song, vulnerable and adoring, gently anxious not sad - reinforces serene/carefree"
Sunsetz,CAS,English,"Serene, Introspective. Crowd sentiment adds real weight here - fans describe crying to it, longing and loss for someone gone, calling it haunting - strengthens the introspective side of the tag with a stronger emotional undertow than 'serene' alone suggests"
Moonlight,Chase Atlantic,English,"Nocturnal, Atmospheric. Sultry uncertain push-and-pull romance, passionate but restless - reinforces the nocturnal/atmospheric tag"
Photograph,Ed Sheeran,English,"Wistful Nostalgia, Tender. Iconic tender bittersweet love ballad, one of the most-played wedding songs of its era - reinforces wistful nostalgia/tender"
What A Time,"Julia Michaels, Niall Horan",English,"Post-Breakup Grief, Somber. Bittersweet nostalgia for an ended relationship, fondly missing someone despite a messy ending - reinforces post-breakup grief"
Heather,Conan Gray,English,"Unrequited Love, Quietly Devastated. Iconic unrequited-love/jealousy ballad, described everywhere as tender heartbreak and 'sad aesthetic' - reinforces the tag strongly"
The Night We Met,Lord Huron,English,"Despondent Longing, Reminiscent. Haunting regret over a lost relationship, used constantly in breakup/melancholy contexts - reinforces despondent longing"
False Alarm,The Weeknd,English,"Adrenaline Drive, Nocturnal Intensity. Chaotic, paranoid, unsettling track with obsessive energy - reinforces adrenaline drive/nocturnal intensity"
We Don't Talk Anymore,Charlie Puth ft. Selena Gomez,English,"Post-Breakup Anger, Smoldering Longing. Heartbreak and resentment after a breakup, moving on but still hurting - reinforces post-breakup anger"
Timber,Pitbull ft. Ke$ha,English,"Club Dance Euphoria, Carefree Frenzy. Pure upbeat party/dance track, no emotional depth - reinforces club dance euphoria/carefree frenzy directly"
Gorgeous,Taylor Swift,English,"Crush Butterflies, Giddy Late Night. Playful crush/butterflies pop song with a jealous streak - reinforces crush butterflies/giddy late night"
2 Things,Jimmy Brown,Korean,"Quiet Introspective Evening, Window-Side Chill. Sweet joyful love song about music and a partner - confirms the quiet mood is warm/content, not melancholic, strengthening the chill/introspective (not sad) reading"
Go Big or Go Home,ENHYPEN,Korean,"Futuristic Club Build, 90s Deep House Nostalgia. Corrected artist match (ENHYPEN, not American Authors) - driving synthetic bassline built to feel like a video-game soundtrack, a high-energy competitive battle cry - strongly reinforces the futuristic club build tag"
Breathe In the Air,Pink Floyd,English,"Observational Stillness, Time Drifting. Contemplative, melancholic, existential reflection - reinforces observational stillness/time drifting"
Rocket Man,Elton John,English,"Cosmic Nocturnal Drift, Philosophical Loneliness. Melancholic isolation in space, bittersweet not triumphant - reinforces cosmic nocturnal drift/philosophical loneliness"
Nothing,Bruno Major,English,"Contented Solitude, Cozy Café. Intimate, tender, quietly romantic acoustic love song - reinforces contented solitude/cozy café"
Iris,The Goo Goo Dolls,English,"Intense Yearning, 90s Heartwrenching. Iconic vulnerable ballad about wanting to be truly seen, aching and emotional - reinforces intense yearning/90s heartwrenching"
Calma,"Pedro Capó, Farruko",Spanish,"Puerto Rican Coastal Morning, Sun-Soaked Calm. A vibrant celebration of island life - hugs, coffee, watching the sun set together, unplugging from phones - reinforces the sun-soaked calm/coastal tag precisely"
DTMF,Bad Bunny,Spanish,"Nostalgic Regret, Afro-Puerto Rican Melancholy. Viral for its raw regret over not taking more photos/spending more time with loved ones now gone - sparked a global tearful tribute trend, reinforces nostalgic regret strongly"
Sofia,Álvaro Soler,Spanish,"Liberating Heartbreak, Euphoric Moving On. Upbeat pop that masks real heartbreak underneath - nostalgia, jealousy, and acceptance dancing away the pain - reinforces liberating heartbreak/euphoric moving on exactly"
Soltera (Remix),"Lunay, Daddy Yankee, Bad Bunny",Spanish,"Liberated Nightlife, Neon Drive. Reggaeton anthem celebrating single independence, neon nightclub bachelorette energy - reinforces liberated nightlife/neon drive directly"
X,"Nicky Jam, J Balvin",Spanish,"Futuristic Lounge Chill, Head-Bop Groove. Reggae-dancehall attraction/desire track with a sensual chill groove - reinforces the lounge chill/head-bop tag"
Con La Brisa,Foudeqush,Spanish,"Aquatic Ethereal, Underwater Dreamscape. Romantic escapism theme (sailing with the wind, sky, breeze) reinforces the ethereal/dreamlike quality of the tag, though the song's own imagery leans toward air and sky rather than water"
Lo Vas a Olvidar,"Billie Eilish, ROSALÍA",English / Spanish,"Haunted Nocturnal Loneliness, Ambient Despair. Described everywhere as haunting - unresolved heartbreak, guilt, and lingering pain between exes - reinforces haunted nocturnal loneliness strongly"
I Can't Get Enough,"benny blanco, J Balvin, Selena Gomez, Tainy",English / Spanish,"Playful Bouncy Joy, Whimsical. Chill, flirty, hypnotic track about mutual obsession - playful pajama-party music video - reinforces playful bouncy joy/whimsical"
Blanco,J Balvin,Spanish,"Hypnotic Groove, Suspicious Cool. Hypnotic rhythm with confident, seductive, in-control swagger - reinforces hypnotic groove/suspicious cool exactly"
Con Calma,"Daddy Yankee, Snow",Spanish,"Morning Beach Dance, Sun-Soaked Carefree. Tropical, warm-weather, hip-swaying dancehall - reinforces morning beach dance/sun-soaked carefree"
MIA,"Bad Bunny, Drake",Spanish / English,"Latin Club Night, Possessive Romance. Possessive love proclamation set at a block party - reinforces latin club night/possessive romance directly"
Still With You,JungKook,Korean,"Rainy Day, Cozy. Warm intimate 2020 solo release, jazzy ballad written as a letter to fans (ARMY) during pandemic isolation - fans describe it as comforting, tender, and 'like a warm hug' - reinforces the rainy-day cozy tag directly"
Blue & Grey,BTS,Korean,"Quiet Loneliness, Introspective Melancholy. Depicts depression and anxiety, crushing and heartbreaking - a pandemic-era isolation anthem - reinforces quiet loneliness/introspective melancholy precisely"
Whalien 52,BTS,Korean,"Isolated Loneliness, Existential Yearning. Widely known as BTS's loneliest-whale metaphor song, consistently described by fans as being about isolation, feeling unheard, and the ache of wanting connection - reinforces isolated loneliness/existential yearning exactly"
Any Song,Zico,Korean,"Socially Exhausted Joy, Burnout Masked as Party. Deceptively euphoric - upbeat dance-challenge hit built on ennui, stress, and using music to fake being okay - reinforces socially exhausted joy/burnout masked as party almost word for word"
Bang Bang Bang,BIGBANG,Korean,"Dystopian Rave, Chaotic High Energy. Best-selling Korean single of 2015, brash chaotic comeback anthem with a military/lawless-world lyrical theme and trap-EDM production - reinforces dystopian rave/chaotic high energy"
Wake Up,Elaine Kim,Korean / English,"Deceptively Joyful Drive, Quirky Carefree. OST special track from It's Okay to Not Be Okay (2020) - upbeat self-liberation anthem urging the listener to 'let go of your inner you' and shake off overthinking - reinforces deceptively joyful drive/quirky carefree well, playful energy with a freeing undertone rather than heavy subject matter"
Euphoria,BTS (Jungkook),Korean,"First Love Euphoria, Ethereal Butterflies. One of BTS's most beloved solo tracks - pure, light, uplifting happiness of falling in love, dreamlike and bright - reinforces first love euphoria/ethereal butterflies directly"
Waste It On Me,"Steve Aoki, BTS (Members)",Korean / English,"Hopeful Passionate Love, Vibrant EDM Energy. Passionate and hopeful about giving love a chance - an upbeat, vibrant EDM collab received with excitement - reinforces the hopeful passion/vibrant EDM energy tag directly"
Best of Me,BTS,Korean,"High-Energy Yearning, Nostalgic Bounce. Soaring EDM anthem about devotion and vulnerability in love - uplifting yet tinged with nostalgia - reinforces high-energy yearning/nostalgic bounce"
Home,BTS,Korean,"Confident Solo Concert, Jazzy Domestic Warmth. Partial mismatch: crowd sentiment centers on ARMY-as-home comfort and loneliness-despite-fame rather than solo-concert confidence - the warmth and domestic side of the tag fits, but confident solo concert undersells the song's core theme of feeling adrift until returning to loved ones"
Blue Hour,TXT,Korean,"Golden Hour Drive, Sunlit Bittersweet. Captures the fleeting magic of a specific sunset moment - bittersweet, nostalgic yearning mixed with youthful wonder, happiness tinged with sadness - reinforces golden hour drive/sunlit bittersweet"
Fairy of Shampoo,TXT,Korean,"Velvety Aquatic Freshness, Dreamy Hairwash. A 90s remake, charming and enchanting - romantic infatuation with an idealized, comforting figure - reinforces the dreamy, velvety-soft romantic quality of the tag, though the fairy/love metaphor carries more weight than literal hairwash imagery"
Eternally,TXT,Korean,"Magical Duality, Angelic to Demonic Arc. Part of TXT's dark storyline - loneliness and growing distance shift into a nightmarish, tempo-flipping second half - reinforces magical duality/angelic-to-demonic arc directly"
Aavan Jaavan,"Arijit Singh, Nikhita Gandhi",Hindi / Punjabi,"Optimistic Progression, Serene. War 2 duet - mixed but largely positive fan reaction calling it visually beautiful and romantically charged ('chartbuster material'), though some felt the heavy Punjabi lyrics diluted emotional connection - broadly reinforces optimistic progression/serene, with a slightly more urgent romantic edge than 'serene' alone suggests"
